School Name,9 #, %, # English Learners, % English Learners, # Free or Reduced Priced Lunch Eligible, % Free or Reduced Priced Lunch Eligible, # IEP, % IEP, # Am In/ AK Native, % Am In/ AK Native, # Asian, % Asian, # Hispanic, % Hispanic, # Black, % Black, # White, % White, # Pacific Islander, % Pacific Islander, # Two or More Races, % Two or More Races, # Male, % Male, # Female, % Female, # Homeless, % Homeless, # Foster, % Foster, # Military Connected, % Military Connected
State,"7,220",19.1,"1,490",32.5,"6,473",20.8,"1,016",23.6,68,24.3,132,6,"3,841",22.5,"1,410",31.3,"1,218",11.5,109,19.8,441,16.6,"4,086",20.9,"3,131",17.1,340,42.9,60,45.1,33,8.9
Clark,"5,574",21.8,"1,198",35.5,"5,343",21.5,732,25.8,27,31.4,107,6.3,"3,025",24.9,"1,318",33.8,661,12.2,79,19.3,356,18.6,"3,118",23.5,"2,453",19.9,307,47.7,51,51.5,27,10.6
A-TECH,-,-,-,-,-,-,-,-,N/A,N/A,0,<5,-,-,-,-,0,<5,0,<5,-,-,-,-,-,-,0,<5,N/A,N/A,-,-
Acceleration Academy,23,74.2,-,-,23,74.2,0,<5,N/A,N/A,N/A,N/A,-,-,-,-,-,-,-,-,-,-,13,81.3,10,66.7,N/A,N/A,N/A,N/A,N/A,N/A
Arbor View HS,119,15.7,-,-,119,15.7,16,25,-,-,-,-,40,18.3,18,17.5,42,14,-,-,11,13.6,63,16.2,56,15.1,-,-,-,-,-,-
Basic HS,148,23.9,14,20.9,148,23.9,25,23.8,N/A,N/A,0,<5,61,24.1,48,35.8,21,15.1,-,-,15,27.8,87,25.1,61,22.3,13,56.5,-,-,-,-
Bonanza HS,204,43.1,57,49.6,204,43.1,21,31.3,-,-,-,-,137,45.2,32,50,18,30,-,-,-,-,103,42,101,44.5,-,-,0,<5,0,<5
Boulder City HS,18,10.8,-,-,18,10.8,-,-,N/A,N/A,-,-,-,-,-,-,11,8.9,0,<5,0,<5,12,12.5,-,-,0,<5,0,<5,N/A,N/A
Burk Horizon SW HS,0,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canyon Springs HS,189,24.5,45,32.1,189,24.5,17,23.9,N/A,N/A,0,<5,118,25.4,61,29.2,-,-,0,<5,-,-,106,28,83,21,13,41.9,-,-,-,-
CC Detention,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Centennial HS,183,24.1,19,50,183,24.1,15,20.8,-,-,-,-,74,27.6,58,39.5,33,13.6,-,-,13,19.4,106,27.6,76,20.3,12,57.1,-,-,-,-
Chaparral HS,143,24.7,37,23.1,143,24.7,21,23.6,-,-,-,-,80,21.3,41,37.6,-,-,0,<5,13,38.2,76,24.8,67,24.6,18,60,-,-,N/A,N/A
Cheyenne HS,199,44,40,56.3,199,44,24,37.5,-,-,-,-,101,45.3,67,44.4,14,41.2,-,-,10,45.5,119,49.8,80,37.6,-,-,-,-,-,-
Cimarron-Memorial HS,171,26.3,28,31.8,171,26.3,18,23.7,-,-,-,-,82,23.2,59,37.8,13,17.3,-,-,14,29.2,98,29.3,73,23,-,-,-,-,0,<5
Clark HS,200,28.6,76,43.7,200,28.6,20,27.8,-,-,-,-,142,34.3,39,41.1,-,-,-,-,-,-,122,32.4,78,24.1,17,50,N/A,N/A,0,<5
Coronado HS,75,9.9,-,-,75,9.9,-,-,-,-,-,-,25,16.1,10,25.6,24,6.3,-,-,-,-,36,8.9,39,11,0,<5,N/A,N/A,0,<5
Cowan Behavior Jr/Sr HS,11,42.3,-,-,11,42.3,-,-,N/A,N/A,N/A,N/A,-,-,-,-,-,-,0,<5,0,<5,-,-,-,-,0,<5,N/A,N/A,N/A,N/A
