School Name,12 #, %, # English Learners, % English Learners, # Free or Reduced Priced Lunch Eligible, % Free or Reduced Priced Lunch Eligible, # IEP, % IEP, # Am In/ AK Native, % Am In/ AK Native, # Asian, % Asian, # Hispanic, % Hispanic, # Black, % Black, # White, % White, # Pacific Islander, % Pacific Islander, # Two or More Races, % Two or More Races, # Male, % Male, # Female, % Female, # Homeless, % Homeless, # Foster, % Foster, # Military Connected, % Military Connected
State,"4,143",11.5,891,20.8,"3,521",12.2,683,17.7,60,20,105,<5,"2,167",13.3,793,19.7,712,7,62,10.5,244,10.2,"2,355",12.8,"1,782",10,200,27.8,33,33.7,16,5.9
Clark,"3,011",12.3,687,20.8,"2,724",11.7,391,16,15,17.6,80,<5,"1,601",13.5,695,20.5,405,7.7,41,9.4,174,10.1,"1,676",13.5,"1,332",11,143,27.4,22,33.8,14,7
A-TECH,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,0,<5
Acceleration Academy,769,73.8,140,81.4,769,73.8,-,-,-,-,13,59.1,411,77.3,188,75.8,99,66.9,-,-,47,65.3,348,76.3,421,71.8,23,71.9,-,-,-,-
Arbor View HS,48,6.2,0,<5,48,6.2,13,16.7,0,<5,-,-,14,6.2,15,14.7,15,<5,0,<5,-,-,27,6.8,21,5.5,-,-,N/A,N/A,-,-
Basic HS,65,11.7,-,-,65,11.7,10,12,0,<5,-,-,22,9.7,24,22.6,13,8.7,-,-,-,-,44,15.4,21,7.8,-,-,0,<5,0,<5
Bonanza HS,66,12.6,21,19.3,66,12.6,-,-,0,<5,-,-,44,12.9,13,19.1,-,-,-,-,-,-,39,13.8,27,11.3,-,-,N/A,N/A,0,<5
Boulder City HS,11,6.7,0,<5,11,6.7,0,<5,-,-,-,-,-,-,N/A,N/A,-,-,0,<5,0,<5,-,-,-,-,0,<5,0,<5,N/A,N/A
Burk Horizon SW HS,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,N/A,N/A,N/A,N/A,0,<5,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Canyon Springs HS,53,9.6,15,11.2,53,9.6,-,-,0,<5,0,<5,35,9.3,13,9.6,-,-,-,-,-,-,26,9.3,27,10,-,-,0,<5,-,-
