Credit Deficiency By Grade 11
School Name,11 #, %, # English Learners, % English Learners, # Free or Reduced Priced Lunch Eligible, % Free or Reduced Priced Lunch Eligible, # IEP, % IEP, # Am In/ AK Native, % Am In/ AK Native, # Asian, % Asian, # Hispanic, % Hispanic, # Black, % Black, # White, % White, # Pacific Islander, % Pacific Islander, # Two or More Races, % Two or More Races, # Male, % Male, # Female, % Female, # Homeless, % Homeless, # Foster, % Foster, # Military Connected, % Military Connected
Durango HS,222,36.8,41,47.1,222,36.8,29,44.6,0,<5,16,20,109,42.2,41,36.6,31,35.2,-,-,19,44.2,128,39.9,94,33.3,10,66.7,-,-,-,-
East CTA,14,<5,-,-,14,<5,-,-,N/A,N/A,-,-,11,<5,-,-,0,<5,0,<5,-,-,-,-,-,-,0,<5,N/A,N/A,0,<5
Eldorado HS,127,23.6,41,29.3,127,23.6,17,21.5,-,-,-,-,96,22.9,13,30.2,10,22.7,0,<5,-,-,77,25.2,50,21.6,-,-,0,<5,N/A,N/A
Explore Knowledge SEC,-,-,0,<5,N/A,N/A,0,<5,N/A,N/A,0,<5,0,<5,0,<5,-,-,0,<5,N/A,N/A,-,-,0,<5,N/A,N/A,N/A,N/A,0,<5
Foothill HS,138,23.5,12,60,138,23.5,20,27.8,-,-,-,-,44,31.7,19,42.2,45,15.3,-,-,22,33.3,89,29,49,17.6,-,-,-,-,0,<5
Global Community High school,32,41.6,32,41.6,32,41.6,0,<5,N/A,N/A,0,<5,29,40.3,-,-,-,-,N/A,N/A,N/A,N/A,23,46,-,-,-,-,N/A,N/A,N/A,N/A
Green Valley HS,102,15.8,16,37.2,102,15.8,10,14.1,-,-,-,-,49,21.9,18,30,23,9.4,-,-,-,-,51,14.5,51,17.3,-,-,0,<5,0,<5
Indian Springs HS,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,0,<5
Innovations Charter SEC,-,-,-,-,-,-,0,<5,N/A,N/A,N/A,N/A,-,-,0,<5,0,<5,-,-,0,<5,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A
Juvenile Detention 3-12,24,82.8,-,-,N/A,N/A,-,-,N/A,N/A,-,-,-,-,10,83.3,-,-,N/A,N/A,-,-,20,80,-,-,-,-,N/A,N/A,N/A,N/A
Las Vegas Academy,-,-,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,-,-,-,-,0,<5,0,<5,0,<5,-,-,0,<5,N/A,N/A,0,<5
Las Vegas HS,125,18.7,45,27.4,125,18.7,16,23.5,-,-,-,-,94,19.1,19,22.9,-,-,-,-,-,-,68,19.3,57,18,-,-,0,<5,0,<5
Laughlin Jr/Sr HS,-,-,0,<5,-,-,-,-,N/A,N/A,0,<5,0,<5,-,-,-,-,N/A,N/A,0,<5,-,-,-,-,-,-,N/A,N/A,N/A,N/A
Legacy HS,206,27.9,23,29.1,206,27.9,30,32.6,-,-,-,-,93,29.2,74,31.8,13,15.9,-,-,16,25.8,118,29.4,88,26.1,-,-,-,-,-,-
Liberty HS,119,14.6,12,23.1,119,14.6,14,17.5,0,<5,-,-,44,18,27,28.1,26,11.8,-,-,-,-,75,17.6,44,11.4,-,-,0,<5,0,<5
Miley Achievement Center Sec,-,-,N/A,N/A,-,-,-,-,N/A,N/A,N/A,N/A,0,<5,-,-,-,-,N/A,N/A,0,<5,-,-,-,-,N/A,N/A,0,<5,N/A,N/A
Miller (John) School,-,-,-,-,-,-,-,-,N/A,N/A,-,-,-,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Mission High School,-,-,0,<5,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,N/A,N/A,-,-,N/A,N/A,N/A,N/A,0,<5,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Moapa Valley HS,12,8.7,-,-,12,8.7,-,-,-,-,N/A,N/A,-,-,-,-,-,-,0,<5,0,<5,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Mojave HS,153,24.1,45,36,153,24.1,18,22.2,0,<5,-,-,86,23.8,50,30.5,-,-,0,<5,-,-,92,27.5,61,20.4,-,-,-,-,-,-
Morris Sunset East HS,-,-,0,<5,N/A,N/A,0,<5,N/A,N/A,N/A,N/A,-,-,0,<5,0,<5,N/A,N/A,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
NECTA HS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nevada Learning Academy,299,56.2,50,74.6,N/A,N/A,42,47.7,-,-,-,-,149,68,63,59.4,43,38.7,11,78.6,22,46.8,131,57.5,168,55.3,-,-,N/A,N/A,N/A,N/A
NW CTA,-,-,0,<5,-,-,0,<5,N/A,N/A,0,<5,-,-,0,<5,-,-,0,<5,0,<5,-,-,-,-,N/A,N/A,N/A,N/A,0,<5
Odyssey Charter HS,68,15.3,-,-,N/A,N/A,-,-,-,-,0,<5,33,17.9,13,29.5,13,8.4,-,-,-,-,37,17.4,31,13.5,-,-,N/A,N/A,0,<5
Palo Verde HS,79,9,-,-,79,9,-,-,0,<5,-,-,30,12.3,16,23.2,21,5.7,-,-,-,-,48,10.5,31,7.4,-,-,0,<5,-,-
Peterson Behavior Jr./Sr. HS,18,69.2,-,-,18,69.2,-,-,N/A,N/A,0,<5,11,78.6,-,-,N/A,N/A,N/A,N/A,-,-,16,66.7,-,-,-,-,N/A,N/A,0,<5
Rancho HS,132,17.4,47,31.8,132,17.4,18,27.3,0,<5,-,-,103,17.3,21,28.8,-,-,0,<5,-,-,75,20.3,57,14.7,12,57.1,-,-,0,<5
Sandy Valley Jr/Sr HS,-,-,-,-,-,-,-,-,N/A,N/A,0,<5,-,-,-,-,-,-,0,<5,0,<5,-,-,-,-,0,<5,N/A,N/A,N/A,N/A
SE CTA,-,-,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,0,<5,-,-,0,<5,0,<5,0,<5,-,-,N/A,N/A,N/A,N/A,0,<5
Shadow Ridge HS,113,13.2,-,-,113,13.2,10,10.5,0,<5,-,-,40,15.3,25,19.5,26,8.2,-,-,13,14.9,68,14.7,44,11.3,10,50,-,-,-,-
Sierra Vista HS,117,14.8,10,16.4,117,14.8,-,-,-,-,-,-,38,16.7,33,27.5,25,13.4,-,-,12,14.1,62,14,55,15.9,-,-,-,-,0,<5
Silverado HS,89,16.3,10,24.4,89,16.3,-,-,0,<5,-,-,34,15.7,17,25.4,26,17.8,-,-,-,-,44,16.4,44,16,-,-,0,<5,0,<5
South Continuation Jr./Sr. Hig,15,88.2,-,-,15,88.2,-,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,N/A,N/A,11,91.7,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Spring Mountain Jr/Sr HS,17,94.4,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,12,92.3,-,-,N/A,N/A,-,-,17,94.4,N/A,N/A,N/A,N/A,-,-,N/A,N/A
Spring Valley HS,93,14.4,18,22.8,93,14.4,-,-,-,-,-,-,37,15.4,23,17.3,14,12.7,-,-,-,-,45,14.7,47,13.9,-,-,-,-,N/A,N/A
Stewart School,11,>95,-,-,11,>95,11,>95,N/A,N/A,N/A,N/A,-,-,-,-,-,-,N/A,N/A,-,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Summit View J/SHS,-,-,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,-,-,-,-,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sunrise Mountain HS,203,28.9,65,34.8,203,28.9,30,39.5,-,-,-,-,142,26.4,41,44.6,-,-,-,-,-,-,120,30.7,83,26.7,14,56,0,<5,-,-
SW CTA,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5
Valley HS,238,37.1,93,45.6,238,37.1,36,49.3,-,-,-,-,162,36.2,46,46,13,38.2,-,-,-,-,147,40.8,91,32.3,16,69.6,-,-,N/A,N/A
Variety SEC,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A,-,-,-,-,-,-,N/A,N/A,-,-,-,-,-,-,N/A,N/A,-,-,N/A,N/A
Virgin Valley HS,16,8.1,-,-,16,8.1,-,-,N/A,N/A,-,-,-,-,0,<5,-,-,0,<5,-,-,-,-,11,12,N/A,N/A,N/A,N/A,N/A,N/A
VT CTA,-,-,-,-,-,-,0,<5,N/A,N/A,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,0,<5,-,-,N/A,N/A,N/A,N/A,0,<5
West CTA,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5
West Prep Sec,-,-,-,-,-,-,-,-,N/A,N/A,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,0,<5,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Western HS,228,31.5,93,42.3,228,31.5,35,33.7,N/A,N/A,-,-,168,29.8,40,40.8,-,-,-,-,-,-,131,34.1,97,28.6,-,-,-,-,N/A,N/A
