"","All Students","Am In/ AKNative","Asian","Hispanic","Black","White","PacificIslander","Two or MoreRaces","IEP","EL","FRL"
"Cunningham ES","91.0","-",">95","91.0","90.2","90.8","89.0","90.9","89.5","90.7","91.0"
"Dailey ES","91.6","N/A","94.6","91.6","91.0","94.3","-","89.3","88.4","92.8","91.6"
"Darnell ES","91.0","-","92.4","90.7","90.0","92.8","-","89.1","89.0","92.3","91.0"
"Dearing ES","91.3","-","-","92.1","89.4","91.6","-","90.8","91.0","92.8","91.3"
"Decker ES","92.4","-",">95","92.2","92.2","91.3",">95","91.1","90.9","92.9","92.4"
"Del Sol Academy","90.5","-","92.3","90.7","88.8","91.7","91.5","89.0","88.6","89.9","90.5"
"Delta Academy","94.8","-",">95","94.2",">95","94.9",">95","94.7","94.7","94.2","94.8"
"Dennis OrtweinElementary","92.6","-","93.7","91.8","92.3","93.4","92.9","92.2","91.3","92.4","92.6"
"Derfelt ES","91.9","-","94.3","91.9","89.8","92.7","-","94.4","89.6","92.7","91.9"
"Desert Oasis HS","92.7","94.1",">95","92.0","90.0","93.7","93.2","91.8","90.7","92.5","92.7"
"Desert Pines HS","88.0","-",">95","88.1","86.6","88.9","88.8","88.6","86.5","86.8","88.0"
"Desert Rose HS","77.1","-","N/A","80.4","73.4","-","N/A","-","74.8","81.3","77.1"
"Desert Willow ES","-","N/A","N/A","N/A","-","N/A","N/A","N/A","-","N/A","N/A"
"Desert WillowSecondary","87.8","N/A","N/A","-","-","-","-","-","-","N/A","N/A"
"Deskin ES","92.1","-",">95","91.8","91.7","93.3","-","91.1","91.3","93.0","92.1"
"Detwiler ES","91.5","-","-","91.6","90.6","95.0","-","92.6","91.6","92.5","91.5"
"Diaz ES","93.2","N/A","-","93.5","91.5","93.4","-","92.9","92.7","93.2","93.2"
"Dickens ES","92.0","-","92.3","92.0","92.6","92.0","86.4","91.7","91.1","92.3","92.0"
"Diskin ES","92.6","-",">95","92.6","91.4","91.6","-","93.2","91.5","93.4","92.6"
"Dondero ES","92.9","N/A","94.0","92.6","94.6","93.0","89.7","93.8","90.7","92.8","92.9"
"Dooley ES","92.6","-","-","92.7","86.9","93.0","-","93.6","91.2","93.4","92.6"
"Duncan ES","92.4","-",">95","92.3","92.0","93.2","92.0","93.2","92.1","92.8","92.4"
"Durango HS","90.6","87.3","93.8","89.4","91.0","90.9","89.5","90.4","90.3","90.1","90.6"
"Earl (Ira) ES","92.2","N/A","N/A","92.4","90.9","91.8","-","91.0","91.2","92.5","92.2"
"Earl (Marion) ES","93.4","N/A","93.6","92.5","93.5","93.8","-","94.8","92.8","94.8","93.4"
"Early ChildhoodProgram","90.4","N/A","-","91.4","88.2","91.4","N/A","-","90.7","N/A","90.4"
"East CTA","93.9","-",">95","93.9","92.3","93.4","94.0","93.0","93.4","93.7","93.9"
"Edwards ES","91.5","N/A","-","91.4","90.6","93.8","-","-","91.3","91.8","91.5"
"Eisenberg ES","92.5","N/A",">95","92.0","91.1","93.4",">95","93.1","91.0","92.7","92.5"
"Eldorado HS","88.6","-","93.8","88.5","86.2","91.0","94.2","88.4","88.3","87.9","88.6"
"Elizondo ES","91.2","-","88.1","90.7","91.9","91.6","-","91.5","90.1","90.8","91.2"
"Ellis ES","94.3","-","95.0","93.4","94.5","94.8","93.9","94.2","92.7","95.0","94.3"
"Escobedo MS","91.7","-",">95","91.1","90.9","92.2","90.9","92.2","89.7","92.8","91.7"
"ExploreKnowledge ES","94.6","-",">95","94.4","94.1","94.7","-","94.9","94.7",">95","N/A"
"ExploreKnowledge SEC",">95","-",">95",">95",">95","95.0","-",">95",">95",">95","N/A"
"Faiss MS","94.3","-",">95","93.5","94.2","94.4","94.5","94.6","93.3",">95","94.3"
"Ferron ES","93.5","-","94.1","93.6","91.9","93.8","-","93.1","92.5","93.8","93.5"
"Fertitta MS","94.9","-",">95","94.7","94.5","94.6","93.7","94.5","94.3","94.6","94.9"
"Findlay MS","90.4","-","94.2","90.5","90.1","90.4","86.2","91.1","90.4","90.2","90.4"
"Fine ES","92.3","N/A","94.5","91.1","92.0","91.7","90.7","92.2","90.5","93.9","92.3"
"Fitzgerald ES","90.3","-","-","90.7","89.5","89.9","-","93.2","89.2","91.6","90.3"
"Fong ES","91.7","-","-","91.9","91.3","91.5","-","92.3","91.5","92.6","91.7"
"Foothill HS","93.5",">95",">95","92.5","93.7","93.9","93.9","93.6","92.7","91.9","93.5"
"Forbuss ES","93.1","-","93.9","92.3","91.6","95.0","92.1","92.1","90.4","93.6","93.1"
"Fremont MS","94.0","N/A",">95","94.1","93.5","93.2","-","91.3","93.2","94.3","94.0"
