"","All Students","Am In/ AKNative","Asian","Hispanic","Black","White","PacificIslander","Two or MoreRaces","IEP","EL","FRL"
"Webb MS","94.5","-",">95","93.8","94.1","94.4","91.2","94.2","92.9","95.0","94.5"
"Wengert ES","91.9","-","93.0","92.5","88.2","91.3","-","91.4","89.8","93.4","91.9"
"West CTA",">95","-",">95",">95",">95",">95","-",">95","93.1","94.4",">95"
"West Prep ES","94.3","N/A","-","94.1","94.7","94.1","-","-",">95","94.4","94.3"
"West Prep Sec","91.7","-","92.9","92.8","88.7","90.8","90.7","89.6","89.8","92.7","91.7"
"Western HS","85.8","-","91.2","86.2","83.1","86.1","85.3","81.2","85.8","85.6","85.8"
"White MS",">95","-",">95",">95",">95",">95","93.6","94.1",">95",">95",">95"
"Whitney ES","91.3","-","94.8","91.6","91.2","89.4","N/A","90.7","90.5","93.9","91.3"
"Wiener ES","91.5","N/A",">95","91.2","90.0","92.3","-","91.5","90.8","91.3","91.5"
"Wilhelm ES","92.0","N/A","92.3","92.1","92.1","91.3","-","92.4","91.5","91.9","92.0"
"Williams (Tom)ES","92.8","N/A","-","93.0","88.1","91.6","-","-","91.1","93.5","92.8"
"Williams(Wendell) ES","87.7","-","-","86.4","88.1","93.6","-","87.4","87.6","88.2","87.7"
"Wolfe (Eva) ES","92.6","-","91.8","92.6","92.1","94.0","-","91.6","91.5","92.7","92.6"
"Wolff (Elise) ES","94.2","-",">95","93.2","93.5","94.4","92.0","94.4","92.7","94.5","94.2"
"Woodbury MS","90.3","-",">95","90.9","88.5","88.5","-","87.7","89.5","92.0","90.3"
"Woolley ES","92.2","-","-","92.6","91.0","93.0","-","90.2","92.3","92.9","92.2"
"Wright ES","93.0","-","92.4","93.4","90.9","94.3","89.3","93.5","90.8","91.9","93.0"
"Wynn ES","90.7","-","89.3","91.2","90.0","90.2","81.9","90.0","89.8","91.1","90.7"
