"","K","","1","","2","","3","","4","","5","","6","","7","","8",""
"","#","%","#","%","#","%","#","%","#","%","#","%","#","%","#","%","#","%"
"CowanBehavior Jr/SrHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5"
"Cox (Clyde) ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Cox (David) ES","-","-","0","<5","-","-","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Cozine ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Craig ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Cram MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","-","-","0","<5"
"Crestwood ES","-","-","-","-","-","-","-","-","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Culley ES","-","-","0","<5","-","-","-","-","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"CunninghamES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Dailey ES","-","-","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Darnell ES","0","<5","-","-","-","-","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Dearing ES","-","-","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Decker ES","-","-","-","-","0","<5","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Delta Academy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","-","-","-","-"
"Dennis OrtweinElementary","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Derfelt ES","0","<5","0","<5","0","<5","-","-","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Desert WillowES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Desert WillowSecondary","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5"
"Deskin ES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Detwiler ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Diaz ES","-","-","0","<5","0","<5","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Dickens ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Diskin ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Dondero ES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Dooley ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Duncan ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Earl (Ira) ES","-","-","-","-","-","-","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Earl (Marion)ES","0","<5","0","<5","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Edwards ES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Eisenberg ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Elizondo ES","0","<5","-","-","-","-","-","-","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Ellis ES","0","<5","0","<5","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Escobedo MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"ExploreKnowledge ES","-","-","0","<5","0","<5","0","<5","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"ExploreKnowledgeSEC","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","-","-","-","-"
"Faiss MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","-","-","0","<5"
"Ferron ES","-","-","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
