"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","#","%","#EnglishLearners","%EnglishLearners","#FreeorReducedPricedLunchEligible","%FreeorReducedPricedLunchEligible","#IEP","%IEP","#AmIn/AKNative","%AmIn/AKNative","#Asian","%Asian","#Hispanic","%Hispanic","#Black","%Black","#White","%White","#PacificIslander","%PacificIslander","#TwoorMoreRaces","%TwoorMoreRaces","#Male","%Male","#Female","%Female","#Homeless","%Homeless","#Foster","%Foster","#MilitaryConnected","%MilitaryConnected"
"Mojave HS","235","36.9","57","50","235","36.9","20","25.3","-","-","-","-","137","40.2","73","39.5","14","31.8","0","<5","-","-","141","39.5","94","33.6","14","56","-","-","-","-"
"Morris Sunset EastHS","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"NECTA HS","30","17.9","-","-","30","17.9","-","-","N/A","N/A","-","-","18","18.8","-","-","-","-","0","<5","-","-","15","17.9","15","17.9","N/A","N/A","N/A","N/A","0","<5"
"Nevada LearningAcademy","300","61.1","44","62","N/A","N/A","41","44.6","-","-","-","-","141","64.1","87","74.4","46","51.7","-","-","11","37.9","137","62.3","163","60.1","21",">95","N/A","N/A","-","-"
"NW CTA","-","-","0","<5","-","-","0","<5","0","<5","0","<5","-","-","-","-","0","<5","0","<5","0","<5","0","<5","-","-","0","<5","N/A","N/A","0","<5"
"Odyssey CharterHS","43","12.3","-","-","N/A","N/A","-","-","0","<5","-","-","22","13","-","-","12","10.9","0","<5","-","-","18","11.8","25","12.7","-","-","0","<5","-","-"
"Palo Verde HS","84","11","11","18.3","84","11","-","-","N/A","N/A","-","-","33","16","-","-","33","9.6","0","<5","-","-","52","12.9","32","8.8","-","-","0","<5","0","<5"
"Peterson BehaviorJr./Sr. HS","18","64.3","-","-","18","64.3","-","-","N/A","N/A","N/A","N/A","-","-","-","-","-","-","N/A","N/A","-","-","11","68.8","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Rancho HS","167","21.7","64","36.8","167","21.7","24","27","-","-","0","<5","130","21.7","30","39.5","-","-","0","<5","-","-","91","23","76","20.3","13","59.1","-","-","0","<5"
"Sandy Valley Jr/SrHS","-","-","0","<5","-","-","0","<5","N/A","N/A","0","<5","-","-","0","<5","0","<5","N/A","N/A","-","-","0","<5","-","-","-","-","N/A","N/A","N/A","N/A"
"SE CTA","15","<5","-","-","15","<5","-","-","0","<5","-","-","12","<5","0","<5","-","-","0","<5","-","-","-","-","12","<5","0","<5","0","<5","0","<5"
"Shadow Ridge HS","105","13.5","10","26.3","105","13.5","13","15.9","-","-","-","-","36","15.5","27","20.9","27","9.2","-","-","-","-","65","16.5","40","10.4","-","-","-","-","-","-"
"Sierra Vista HS","117","13.7","18","23.4","117","13.7","-","-","0","<5","-","-","34","14.7","31","22.5","21","10.7","-","-","20","18.3","79","17.8","38","9.3","-","-","-","-","-","-"
"Silverado HS","132","25.5","15","32.6","132","25.5","12","20","N/A","N/A","-","-","49","24.6","21","36.8","37","24.3","-","-","14","28","75","29.2","57","21.9","-","-","-","-","0","<5"
"South ContinuationJr./Sr. Hig","14","66.7","-","-","14","66.7","-","-","N/A","N/A","0","<5","-","-","-","-","N/A","N/A","N/A","N/A","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A"
"Spring MountainJr/Sr HS","18","90","-","-","N/A","N/A","-","-","N/A","N/A","N/A","N/A","-","-","15","93.8","N/A","N/A","N/A","N/A","-","-","18","90","N/A","N/A","-","-","N/A","N/A","N/A","N/A"
"Spring Valley HS","132","18.1","20","26.3","132","18.1","16","23.2","0","<5","-","-","60","22.6","41","25.9","17","11.7","-","-","-","-","78","20.5","54","15.6","-","-","0","<5","0","<5"
