"","All Students","Am In/ AKNative","Asian","Hispanic","Black","White","PacificIslander","Two or MoreRaces","IEP","EL","FRL"
"Goldfarb ES","91.6","-",">95","91.3","90.2","94.4","-","92.0","91.0","92.7","91.6"
"Goodsprings ES","-","N/A","N/A","N/A","N/A","-","N/A","-","-","N/A","-"
"Goolsby ES","94.3","N/A",">95","93.5","91.1","94.4","-","94.4","93.9",">95","94.3"
"Goynes ES","92.8","-","92.7","92.6","91.4","93.6","88.4","94.1","92.1","90.9","92.8"
"Gragson ES","91.2","-","-","92.1","87.5","89.9","-","89.1","90.0","93.0","91.2"
"Gray ES","91.5","N/A","93.6","91.8","90.3","91.4","-","91.4","90.3","91.8","91.5"
"Green Valley HS","92.6",">95",">95","91.8","90.5","93.4","90.8","92.5","92.2","91.7","92.6"
"Greenspun JHS","93.0","94.2",">95","92.7","91.7","93.3","93.2","92.7","90.8","92.2","93.0"
"Griffith ES","92.4","-",">95","92.8","89.3","91.3","N/A","90.1","90.7","93.3","92.4"
"Guinn MS","93.7","-",">95","92.3",">95","93.7","92.6","93.4","91.7","92.4","93.7"
"Gunderson,Barry and JuneMS","94.2","-",">95","93.0","94.0","94.5","93.6","94.2","93.4","93.3","94.2"
"Guy ES","91.8","N/A","94.1","91.6","91.5","92.1","-","92.2","90.7","90.8","91.8"
"Hancock ES","91.6","-","93.2","91.8","90.8","92.1","-","91.9","91.3","92.9","91.6"
"Harmon ES","92.5","-","-","92.8","91.0","92.7","-","90.3","92.0","93.5","92.5"
"Harney MS","90.7","-",">95","90.6","89.5","91.3",">95","89.8","91.2","91.2","90.7"
"Harris ES","91.7","-",">95","91.9","91.0","92.7","91.2","88.6","91.9","92.6","91.7"
"Hayden ES","92.3","-","92.7","92.1","92.3","94.4","88.3","92.4","92.1","92.6","92.3"
"Hayes ES","93.2","-","94.9","91.8","92.3","94.8","92.8","93.1","91.9","93.1","93.2"
"Heard AcademyES","94.4","-",">95","94.4","93.1","94.5","N/A","95.0","93.4","95.0","94.4"
"Heckethorn ES","93.4","-","93.9","93.0","92.7","94.1","-","93.3","91.7","93.7","93.4"
