"","All Students","Am In/ AKNative","Asian","Hispanic","Black","White","PacificIslander","Two or MoreRaces","IEP","EL","FRL"
"Smith (Hal) ES","90.3","-","-","90.0","90.2","90.6","-","91.5","89.7","91.4","90.3"
"Smith (Helen) ES","93.4","-",">95","93.6","92.7","93.4","-","92.3","92.2","94.2","93.4"
"Smith (J.D.) MS","91.1","-","-","91.5","89.1","88.5","-","87.1","90.0","90.7","91.1"
"Snyder ES","92.2","-","94.6","91.6","92.1","92.2","91.1","91.6","90.9","92.5","92.2"
"Snyder ES","90.4","-","93.1","90.3","91.1","89.2","N/A","89.8","87.7","91.8","90.4"
"SouthContinuationJr./Sr. Hig","89.2","N/A","-","90.7","87.5","-","-","-","90.6","91.5","89.2"
"Spring MountainJr/Sr HS",">95","-","N/A",">95",">95","-","N/A","-",">95","-","N/A"
"Spring Valley HS","92.8","92.5",">95","92.5","92.5","92.3","89.2","92.7","90.7","93.0","92.8"
"Squires ES","91.2","-","-","91.4","89.7","90.1","N/A","88.7","88.1","91.4","91.2"
"Stanford ES","92.7","-","-","92.7","90.9","93.8","-","92.2","91.9","93.6","92.7"
"Staton ES","94.4","-",">95","93.0","95.0","94.8","-",">95","93.0","93.3","94.4"
"Steele ES","93.3","-","94.8","92.7","92.8","93.5","92.1","92.8","92.6",">95","93.3"
"StevensElementarySchool","92.0","-","94.3","92.1","89.1","92.8","-","92.7","92.0","93.7","92.0"
"Stewart School","88.3","N/A","-","85.3","89.0","90.3","-","-","88.3","86.2","88.3"
"Stuckey ES","92.6","N/A","93.3","92.3","90.0","93.0","89.6","93.4","90.1","92.9","92.6"
"Summit ViewJ/SHS",">95","-","N/A","-",">95",">95","-","-","-","-","N/A"
"Sunrise Acres ES","91.9","-","-","92.3","91.3","90.6","N/A","87.8","91.6","93.1","91.9"
"Sunrise MountainHS","90.3","-","92.6","90.5","88.7","90.3","93.1","89.8","88.0","90.3","90.3"
"SW CTA",">95","-",">95","94.6",">95",">95","94.3",">95","94.1","94.4",">95"
"Swainston MS","92.1","-","94.9","92.4","91.2","93.2","91.0","91.1","91.6","93.2","92.1"
"Tanaka ES","91.6","-","94.6","89.5","91.4","92.9","93.4","92.0","90.4","92.7","91.6"
"Tarkanian MS","94.2","-",">95","93.6","94.4","94.4","92.9","93.9","92.2","93.6","94.2"
"Tarr ES","93.6","-","95.0","92.9","94.2","93.6","-","94.7","93.4",">95","93.6"
"Tartan ES","91.0","-","92.7","90.7","91.0","91.8","87.4","92.0","90.1","93.6","91.0"
"Tate ES","92.0","N/A","N/A","92.8","89.7","94.7","-","89.1","90.9","94.0","92.0"
"Taylor (Glen) ES","93.9","-","95.0","93.3","93.1","94.1","92.9","94.7","93.0","93.8","93.9"
"Taylor (Robert)ES","90.7","-","-","91.3","89.5","91.6","-","90.0","91.3","90.2","90.7"
"Thiriot ES","94.2","-",">95","93.2","94.7",">95","94.1","94.6","92.4",">95","94.2"
"Thomas ES","88.1","-","92.7","88.2","87.5","89.9","-","85.1","86.9","90.2","88.1"
"Thompson ES","93.1","-",">95","92.9","91.6","94.0","-","92.5","92.3","92.1","93.1"
"Thompson,Tyrone ES","92.7","-","93.3","92.1","93.5","93.5","89.6","91.7","91.2","93.6","92.7"
"Thorpe ES","90.1","-","91.6","90.1","90.0","90.3","-","90.3","87.7","92.3","90.1"
"Tobler ES","94.0","-","-","94.3","93.1","94.3","-","93.2","92.7",">95","94.0"
"Tomiyasu ES","92.0","N/A","93.6","92.3","90.3","91.6","-","92.2","90.8","91.6","92.0"
"Treem ES","90.6","-","93.0","90.3","90.1","91.7","-","90.4","88.2","90.7","90.6"
"Triggs ES","93.4","-",">95","92.9","92.1","94.1","-","93.9","92.2","94.3","93.4"
"Twin Lakes ES","93.0","-",">95","93.3","91.5","91.7","-","-","91.8","94.4","93.0"
"Twitchell ES","94.3","N/A",">95","93.3","91.9","94.6","-","94.7","92.1","94.8","94.3"
"Ullom ES","91.4","-","-","92.0","89.1","90.9","-","90.8","88.8","92.5","91.4"
"Valley HS","89.2","-","94.0","89.2","87.5","89.2","-","90.4","88.5","89.2","89.2"
"Vanderburg ES","94.6","N/A",">95","93.7","91.4","94.8","-",">95","92.9",">95","94.6"
"Variety ES","83.1","N/A","-","-","-","-","-","-","83.1","-","83.1"
