"A-TECH","-","-","0","<5","-","-","0","<5","0","<5","0","<5","-","-","0","<5","-","-","0","<5","0","<5","-","-","-","-","N/A","N/A","N/A","N/A","-","-"
"AccelerationAcademy","117","86.7","13","92.9","117","86.7","-","-","-","-","-","-","61","87.1","24","85.7","16","80","-","-","-","-","58","89.2","59","84.3","-","-","N/A","N/A","-","-"
"Arbor View HS","160","20","10","34.5","160","20","22","29.7","0","<5","-","-","51","22.6","36","33","48","14.9","-","-","20","20.4","94","21.6","66","18.1","-","-","0","<5","-","-"
"Basic HS","178","25.5","19","32.2","178","25.5","27","25.7","-","-","-","-","71","27.2","50","37.9","36","18.7","-","-","13","21.7","96","24.9","82","26.1","15","65.2","-","-","0","<5"
"Bonanza HS","214","39","69","58.5","214","39","30","42.3","0","<5","-","-","138","40.1","35","43.2","23","30.7","-","-","-","-","121","39.9","93","37.8","-","-","-","-","N/A","N/A"
"Boulder City HS","32","18.6","-","-","32","18.6","-","-","N/A","N/A","-","-","-","-","-","-","20","16.9","N/A","N/A","-","-","11","13.4","21","23.3","0","<5","0","<5","0","<5"
"Burk Horizon SWHS","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Canyon Springs HS","182","24.3","59","34.5","182","24.3","26","25.7","N/A","N/A","0","<5","120","24.3","55","27.9","-","-","0","<5","-","-","108","29.8","74","19.2","-","-","-","-","0","<5"
"CC Detention","-","-","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","-","-","-","-","-","-","N/A","N/A","-","-","-","-","N/A","N/A","-","-","N/A","N/A","N/A","N/A"
"Centennial HS","132","17","12","26.1","132","17","21","21.6","-","-","0","<5","54","20.9","37","24.7","27","10.9","-","-","11","15.1","88","21.8","44","11.9","-","-","-","-","-","-"
"Chaparral HS","164","28.6","47","32.9","164","28.6","23","31.5","-","-","-","-","89","25.3","45","38.5","21","38.2","-","-","-","-","103","31.2","61","25","16","59.3","0","<5","0","<5"
"Cheyenne HS","198","37.2","44","57.1","198","37.2","34","40.5","0","<5","-","-","113","39.1","58","40","12","30.8","-","-","-","-","119","40.8","79","32.9","-","-","0","<5","-","-"
"Cimarron-MemorialHS","130","20.3","26","26.8","130","20.3","17","22.7","-","-","-","-","74","20.1","33","26.4","10","14.5","-","-","-","-","85","23.4","45","16.2","-","-","-","-","-","-"
"Clark HS","211","28.2","86","43.9","211","28.2","30","36.1","0","<5","-","-","151","33.9","32","30.2","12","25","-","-","-","-","134","32.8","77","22.8","10","40","0","<5","0","<5"
"Coronado HS","132","16","11","31.4","132","16","10","20.4","0","<5","-","-","36","21.6","12","32.4","58","13.7","-","-","11","14.5","81","18.5","51","13.1","-","-","-","-","-","-"
"Cowan BehaviorJr/Sr HS","14","58.3","-","-","14","58.3","-","-","N/A","N/A","N/A","N/A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A"
"Cowan Sunset SEHS","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"CSNHS East","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CSNHS South","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CSNHS West","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CTTA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Del Sol Academy","101","15.8","34","23.3","101","15.8","13","18.3","N/A","N/A","0","<5","64","15.1","25","27.5","-","-","-","-","-","-","51","17.3","50","14.5","-","-","-","-","N/A","N/A"
"Delta Academy","74","43.3","-","-","74","43.3","13","61.9","-","-","0","<5","33","44.6","22","64.7","-","-","-","-","-","-","38","46.3","36","40.4","-","-","N/A","N/A","N/A","N/A"
"Desert Oasis HS","106","13.4","-","-","106","13.4","10","14.3","-","-","-","-","35","14.1","32","31.7","18","8.5","-","-","12","16.2","48","12.3","57","14.3","-","-","-","-","-","-"
"Desert Pines HS","193","24.6","79","33.3","193","24.6","22","22.2","0","<5","0","<5","147","23.8","30","28.8","-","-","-","-","-","-","113","27.5","80","21.3","14","53.8","-","-","N/A","N/A"
"Desert Rose HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Desert WillowSecondary","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","N/A","N/A","-","-","N/A","N/A","N/A","N/A","-","-","-","-","-","-","-","-","N/A","N/A"
"Durango HS","216","34.8","57","57.6","216","34.8","24","30.8","-","-","11","15.5","117","43","42","34.4","27","28.4","-","-","12","31.6","121","37.2","95","32.1","10","62.5","0","<5","0","<5"
"East CTA","33","7.1","-","-","33","7.1","-","-","N/A","N/A","0","<5","30","7.9","-","-","-","-","-","-","0","<5","22","9.7","11","<5","0","<5","N/A","N/A","N/A","N/A"
"Eldorado HS","161","31.1","58","43.6","161","31.1","16","24.2","-","-","0","<5","125","31.4","21","36.8","-","-","-","-","-","-","83","30.4","78","31.8","-","-","-","-","-","-"
"Explore KnowledgeSEC","-","-","0","<5","N/A","N/A","0","<5","N/A","N/A","N/A","N/A","-","-","-","-","0","<5","N/A","N/A","0","<5","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Foothill HS","159","24.6","10","58.8","159","24.6","24","34.8","-","-","-","-","63","33.7","20","45.5","50","15.8","-","-","16","30.8","102","29.1","57","19.3","-","-","N/A","N/A","-","-"
"Global CommunityHigh school","24","38.7","23","37.7","24","38.7","-","-","N/A","N/A","0","<5","24","40.7","N/A","N/A","0","<5","N/A","N/A","0","<5","18","50","-","-","-","-","N/A","N/A","N/A","N/A"
"Green Valley HS","112","16.4","18","34","112","16.4","-","-","0","<5","-","-","52","20.1","31","35.2","20","8.8","-","-","-","-","58","15.8","54","17.3","-","-","-","-","-","-"
"Indian Springs HS","-","-","0","<5","-","-","0","<5","N/A","N/A","0","<5","0","<5","0","<5","-","-","N/A","N/A","0","<5","0","<5","-","-","N/A","N/A","0","<5","-","-"
"Innovations CharterSEC","-","-","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","0","<5","-","-","0","<5","N/A","N/A","-","-","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Juvenile Detention3-12","23","92","-","-","N/A","N/A","-","-","N/A","N/A","N/A","N/A","10",">95","-","-","-","-","N/A","N/A","-","-","18","90","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Las VegasAcademy","-","-","0","<5","-","-","-","-","0","<5","0","<5","-","-","-","-","-","-","0","<5","-","-","-","-","-","-","0","<5","N/A","N/A","0","<5"
"Las Vegas HS","152","21.4","53","30.6","152","21.4","24","31.2","N/A","N/A","-","-","117","22.9","17","20.2","-","-","0","<5","11","37.9","93","23.2","59","19.2","-","-","0","<5","0","<5"
"Laughlin Jr/Sr HS","11","20.4","N/A","N/A","11","20.4","-","-","N/A","N/A","0","<5","-","-","-","-","-","-","N/A","N/A","-","-","-","-","-","-","-","-","0","<5","N/A","N/A"
"Legacy HS","226","34.1","33","42.9","226","34.1","25","27.8","N/A","N/A","-","-","96","34.9","95","39.9","11","19","-","-","11","20.4","136","38.7","90","28.9","15","65.2","-","-","-","-"
"Liberty HS","117","14.8","14","34.1","117","14.8","17","24.6","0","<5","-","-","36","16.2","35","35.4","18","8.8","-","-","14","13","68","16.3","49","13.1","-","-","-","-","-","-"
"Miley AchievementCenter Sec","-","-","N/A","N/A","-","-","-","-","N/A","N/A","N/A","N/A","-","-","-","-","-","-","N/A","N/A","-","-","-","-","-","-","0","<5","-","-","N/A","N/A"
"Miller (John)School","13",">95","-","-","13",">95","13",">95","N/A","N/A","-","-","-","-","-","-","-","-","N/A","N/A","-","-","-","-","-","-","-","-","N/A","N/A","-","-"
"Mission HighSchool","0","<5","N/A","N/A","0","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","N/A","N/A","N/A","N/A","0","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Moapa Valley HS","-","-","0","<5","-","-","0","<5","0","<5","0","<5","-","-","N/A","N/A","-","-","N/A","N/A","0","<5","-","-","-","-","0","<5","N/A","N/A","0","<5"
